analysis_id,84l7sz31tr12ree
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9841673
parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:106100
parameter_name,Initial response to glucose challenge
gene_symbol,ETFDH
