analysis_id,2ldx395o4qo84s3
parameter_name,Effector Treg cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,MGP_IMM_077_001
mouse_life_stage,E12.5
pvalue,0.5399668
gene_accession_id,MGI:1914071
