parameter_name,Lumbar processes
gene_symbol,Arpc2
pvalue,0.2241811
mouse_strain,C57BL
analysis_id,65ovi61185m3m46
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
