analysis_id,9dmwf5ta6eu8vy7
gene_accession_id,MGI:1921262
pvalue,0.7200726
gene_symbol,Rap2b
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
parameter_name,Body weight
