parameter_name,Narrow eye opening
gene_accession_id,MGI:88461
mouse_strain,C57BL
analysis_id,47773q97lpsf20n
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
pvalue,0.08540046
