parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
analysis_id,ewajix6fnjh27nn
gene_symbol,Bpifa3
pvalue,0.7352212
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
