gene_symbol,Sass6
gene_accession_id,MGI:1920026
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
pvalue,0.5118128
mouse_life_stage,E12.5
analysis_id,k7io372o3m63w81
parameter_id,HMGULA_DYS_024_001
