gene_symbol,Ppm1j
parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
analysis_id,y3ul6462926f944
pvalue,0.6920405
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
