parameter_name,Periphery distance travelled
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
analysis_id,untwa1o8i199l96
mouse_strain,C57BL
pvalue,0.403148
parameter_id,HRWLLA_OFD_010_001
