analysis_id,16oa9bfu57o49w9
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_name,Percentage center time
mouse_strain,C57BL
pvalue,0.1237793
mouse_life_stage,Early adult
