analysis_id,1z2luu29n43omd4
gene_symbol,Zmynd8
mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,Early adult
pvalue,0.1910787
parameter_name,Center average speed
