analysis_id,4z6p008ae08sq2n
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
pvalue,0.8317918
parameter_name,Hindlimbs - shape
