gene_symbol,Cpa3
gene_accession_id,MGI:88479
analysis_id,g288vez2k9r6j0y
mouse_strain,C57BL
pvalue,0.9058092
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
parameter_name,Facial Morphology
