gene_symbol,Lurap1
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
analysis_id,f57pptzo2kyl744
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
pvalue,0.1145382
parameter_name,B2B Cells
