parameter_name,Hemorrhage
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
gene_symbol,Cisd2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
pvalue,0.6143039
analysis_id,63jh8he9s0x13h8
