analysis_id,cw5412q4jf02hn2
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
pvalue,0.1571501
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_strain,C57BL
