analysis_id,k523m12v287yl55
gene_accession_id,MGI:1914061
parameter_name,Eosinophils
mouse_strain,C57BL
gene_symbol,Duoxa2
pvalue,0.7946625
parameter_id,IMPC_IMM_052_001
mouse_life_stage,Early adult
