analysis_id,0rac6eopo79v27j
pvalue,0.9335508
gene_symbol,Atg4c
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_name,Macrophages - % of CD45+
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
