parameter_name,Center permanence time
analysis_id,oz504mjt1g07z38
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.2030217
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
mouse_life_stage,Late adult
