analysis_id,l048jrev432p1gm
gene_accession_id,MGI:1913483
parameter_id,IMPC_IPG_011_001
pvalue,0.60437
gene_symbol,Dmap1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
