analysis_id,y0p6631e8sdf54q
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:109585
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Pld1
mouse_strain,C57BL
pvalue,0.9723939
mouse_life_stage,Early adult
