parameter_name,Vocalization
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
pvalue,0.7298638
analysis_id,07a12r76a6516y2
gene_symbol,Usp37
gene_accession_id,MGI:2442483
