parameter_name,Mean corpuscular hemoglobin
gene_symbol,Usp37
analysis_id,d5e2l12238n6w67
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,3.077124e-05
