parameter_name,Centre resting time
gene_accession_id,MGI:3588214
parameter_id,ESLIM_007_001_011
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rufy4
pvalue,0.758127
analysis_id,6vlr7i192e53y06
