gene_symbol,Cldn19
mouse_strain,C57BL
pvalue,0.3973431
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
parameter_name,Shape of ribcage
analysis_id,k0941um1mn81r0q
