parameter_id,HMGULA_HEM_001_001
mouse_strain,C57BL
parameter_name,White blood cell count
mouse_life_stage,Early adult
analysis_id,mgks17r127rxybm
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
pvalue,0.9037815
