analysis_id,13nf2w6g5326212
gene_symbol,Frmpd1
parameter_id,IMPC_GEO_011_001
parameter_name,Blood Vessel Morphology
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.1812988
