parameter_name,Global prepulse inhibition
pvalue,0.9533313
analysis_id,pq90803f8f052ks
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
gene_symbol,Hpca
