analysis_id,8763s0590z952y2
gene_symbol,NANP
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5788078
parameter_name,Glucose
gene_accession_id,MGI:1914561
