gene_symbol,Rab13
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
mouse_strain,C57BL
pvalue,0.1985095
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
analysis_id,9251ndx0487nb47
