parameter_id,IMPC_GEL_017_002
analysis_id,wholny4bpj48d5c
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
pvalue,0.9257524
gene_symbol,Steap3
mouse_strain,C57BL
parameter_name,Pale yolk sac
