gene_symbol,Usp37
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mean platelet volume
analysis_id,0wv33c1iw50e21j
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:2442483
pvalue,0.9693028
