parameter_id,ICS_FEA_019_001
analysis_id,c94u2e6878418c7
gene_symbol,Gja10
mouse_strain,C57BL
parameter_name,% Freezing duration pre-cue-2
pvalue,0.1480351
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
