analysis_id,z4usa5oasw9773r
pvalue,0.4928407
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
gene_symbol,Slc39a10
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
