analysis_id,368lx0643750372
gene_accession_id,MGI:1274787
parameter_id,JAX_OFD_013_001
gene_symbol,Trdmt1
pvalue,0.06017238
mouse_strain,C57BL
parameter_name,Periphery average speed
mouse_life_stage,Early adult
