mouse_life_stage,Late adult
parameter_id,IMPC_EYE_062_001
gene_symbol,Hpca
analysis_id,7682xq7l7ky362a
parameter_name,Right total retinal thickness
pvalue,0.3807538
mouse_strain,C57BL
gene_accession_id,MGI:1336200
