parameter_name,Periphery permanence time
gene_accession_id,MGI:1915325
parameter_id,JAX_OFD_012_001
pvalue,0.7186616
mouse_strain,C57BL
gene_symbol,Lurap1
analysis_id,f144rh8288y64gq
mouse_life_stage,Early adult
