analysis_id,x9o0m6ue772ofgq
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Cornea vascularisation
gene_accession_id,MGI:95835
pvalue,0.319487
gene_symbol,Hspa5
parameter_id,ESLIM_014_001_008
