parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1916846
mouse_strain,C57BL
pvalue,1.243725
parameter_name,BMC/Body weight
gene_symbol,Ap5s1
analysis_id,149p420q07770g2
mouse_life_stage,Early adult
