analysis_id,ke2f7364c33k57u
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
gene_symbol,Cdin1
pvalue,0.9533332
mouse_strain,C57BL
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
