parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:2448481
mouse_strain,C57BL
analysis_id,y1i4ey50a6y8278
pvalue,0.5026447
parameter_name,Lens Opacity
gene_symbol,Mgst2
mouse_life_stage,Early adult
