analysis_id,2u9u85646dpg492
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
pvalue,0.9620623
parameter_id,MGP_IMM_011_001
gene_symbol,Wars2
