gene_symbol,Cpa3
gene_accession_id,MGI:88479
pvalue,0.8049415
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
analysis_id,g902fic3nkhfd0h
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
