parameter_name,Percentage center time
gene_symbol,Hpca
analysis_id,2045vd4692qk86w
mouse_strain,C57BL
pvalue,0.1700279
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
parameter_id,JAX_OFD_022_001
