analysis_id,p1yxi45f5h7sr99
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
parameter_name,Phosphorus
mouse_life_stage,Early adult
pvalue,0.2450207
mouse_strain,C57BL
