gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
parameter_name,Facial Morphology
analysis_id,a969j70uo976ly1
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
pvalue,0.4614161
