parameter_name,Head morphology
mouse_strain,C57BL
analysis_id,c0dxl3450u81a89
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,MGP_CSD_064_001
pvalue,0.5857732
mouse_life_stage,Middle aged adult
