analysis_id,ct64de9e641b70k
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
pvalue,0.4667687
mouse_strain,C57BL
mouse_life_stage,Early adult
