gene_symbol,Zcchc2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,c8kfg72544iqejn
parameter_name,cDCs CD11b Type
pvalue,0.4557201
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:2444114
