gene_symbol,Nemp2
parameter_id,IMPC_GPP_004_001
pvalue,0.123193
mouse_life_stage,Early adult
parameter_name,Placenta Size
mouse_strain,C57BL
gene_accession_id,MGI:2444113
analysis_id,j43j88y92r2e0d5
