analysis_id,625z6bjvpzw55df
gene_symbol,Sla2
pvalue,0.887824
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
gene_accession_id,MGI:1925049
parameter_name,Femur
mouse_life_stage,Early adult
