parameter_name,Stroke Volume
gene_symbol,Ola1
pvalue,0.4292249
mouse_life_stage,E18.5
analysis_id,j47i1i3xnkczo8n
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,IMPC_ECH_003_001
