analysis_id,70ppzd7oh11qq3d
mouse_life_stage,E15.5
parameter_name,NKT cells (panel A)
pvalue,0.3335411
gene_symbol,Mapkap1
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:2444554
mouse_strain,C57BL
