analysis_id,75k96d7571292wu
pvalue,0.2691788
mouse_strain,C57BL
gene_accession_id,MGI:1346088
parameter_id,IMPC_EYE_062_001
gene_symbol,Cd52
parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
