gene_symbol,Ssr2
parameter_id,IMPC_IMM_025_001
analysis_id,x627091644yv2q4
mouse_strain,C57BL
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
pvalue,0.8420182
