analysis_id,h0jqrunc25e55wh
mouse_strain,C57BL
pvalue,0.24536
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_id,MGP_MLN_014_001
gene_symbol,Ap5s1
parameter_name,Resting CD8+ T cells - % of CD8+
