analysis_id,8s53038y30x36e6
parameter_name,Anophthalmia
mouse_strain,C57BL
gene_symbol,Pld1
pvalue,0.5943759
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
