gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
analysis_id,j1e3mq08575920d
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
parameter_name,Limb morphology
pvalue,0.08153358
