parameter_name,NK cell number
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
pvalue,0.3496807
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
analysis_id,72h6i7js8klr832
gene_symbol,Hspa5
