parameter_name,Midbrain
mouse_life_stage,Early adult
analysis_id,0gy87z167f801n2
mouse_strain,C57BL
pvalue,0.6837448
gene_symbol,Lpgat1
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:2446186
