analysis_id,82pq3f7ggu3130x
mouse_strain,C57BL
gene_symbol,Rab3gap2
pvalue,0.572202
parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
parameter_name,Thoracic processes
gene_accession_id,MGI:1916043
