parameter_id,JAXLA_CSD_007_001
mouse_life_stage,Middle aged adult
parameter_name,Coat - color - abdomen
analysis_id,fpz36vs9vyjm6u8
pvalue,0.4143489
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
