parameter_name,Stroke Volume
analysis_id,9j3ug6ri3i93hnl
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
pvalue,0.4238785
gene_accession_id,MGI:88479
mouse_strain,C57BL
gene_symbol,Cpa3
