analysis_id,emwu8907gz83q78
parameter_id,HMGULA_CBC_003_001
gene_symbol,Kdm4c
parameter_name,Chloride
pvalue,0.9063838
mouse_strain,C57BL
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
